model,accuracy,macro_f1
Baseline,0.7780103529485068,0.21878678930589976
Logistic Regression,0.37774534706327334,0.31929283943894465
Random Forest,0.4166268314077732,0.33131830653174027
XGBoost,0.39647976385074385,0.3378235307484114
