quantity,estimate,ci_low,ci_high
cross_court,0.021620296,0.018667196668684483,0.02463822700083256
down_the_line,0.028204987,0.024637091532349588,0.03175456374883652
middle,0.029258223,0.026310667768120764,0.03242002185434103
dtl_minus_cc,0.006584693,0.0054433103650808334,0.007563668116927148
