state,p_win_immediately,p_lose_immediately,expected_shots_remaining,p_win_point
net_cross_court,0.48716459197787,0.16885200553250346,2.28764617209675,0.6650064587396514
net_middle,0.40795361721774337,0.20244521788542813,2.5191698308706023,0.6046314089706708
net_down_the_line,0.42714136010148374,0.22580111411394854,2.268480634744486,0.5978206327144356
forehand_middle,0.06944941227627223,0.13982371794871795,4.4227072976561805,0.48522883605720957
forehand_cross_court,0.058395914816870745,0.14011446509580233,4.324178525554441,0.4812358567829177
backhand_cross_court,0.03154524662480728,0.11956196322267006,4.594984366714681,0.4808359522676902
forehand_down_the_line,0.1294611909050056,0.22158510968128503,3.7369930864752865,0.46991477326096864
backhand_middle,0.02851534321069863,0.13384662338382997,4.650726627289443,0.46707739437121304
backhand_down_the_line,0.13955622912153004,0.2589784091272933,3.4441179652341387,0.4517210668797549
slice_cross_court,0.01278774164711141,0.1530548105933624,4.343750455551679,0.4490581740818963
return,0.020284152172165424,0.20289124793739807,4.345759312828063,0.42526251798954856
slice_middle,0.006412283980791903,0.21491694702437436,4.235299400620127,0.40450172669383844
slice_down_the_line,0.02816057519472738,0.27080623712168816,3.6900531214809047,0.37898198736808564
